,geoid
0,060730063001
1,060730055001
2,060730099011
3,060730113001
4,060730038001
5,060730095102
6,060730051001
7,060730032013
8,060730094001
9,060730052001
10,060730186012
11,060730212061
13,060730214001
14,060730085111
15,060730201031
16,060730202113
17,060730083661
18,060730203083
19,060730213032
20,060730051002
21,060730139061
22,060730167022
24,060730198063
25,060730200271
26,060730167011
27,060730203061
28,060730170301
29,060730133102
30,060730100142
31,060730133131
32,060730133141
33,060730170141
34,060730083474
35,060730185094
36,060730170393
37,060730083373
38,060730170333
39,060730012001
40,060730137011
41,060730083492
42,060730032083
43,060730184001
44,060730133033
45,060730083481
46,060730194041
47,060730101073
48,060730100041
49,060730117004
50,060730136044
51,060730118021
52,060730170313
53,060730031121
54,060730170091
55,060730091022
56,060730200282
57,060730174012
58,060730098044
59,060730098022
60,060730193011
61,060730185111
62,060730085073
63,060730185102
64,060730159012
65,060730184003
66,060730032012
67,060730105024
68,060730031111
69,060730105023
70,060730083471
71,060730186033
72,060730033053
73,060730200223
74,060730159024
75,060730083281
76,060730093014
77,060730032093
78,060730193021
79,060730119021
80,060730100031
81,060730098024
82,060730095071
83,060730032121
84,060730031152
85,060730083522
86,060730134093
87,060730083501
88,060730012004
89,060730083532
90,060730027111
91,060730170422
92,060730083581
93,060730033051
94,060730085033
95,060730092011
96,060730034032
97,060730186031
98,060730142001
99,060730116013
100,060730100012
101,060730158011
102,060730133111
103,060730170481
104,060730031112
105,060730133101
106,060730170402
107,060730193024
108,060730181006
109,060730020022
110,060730140011
111,060730085075
112,060730133093
113,060730185181
114,060730031142
115,060730186011
116,060730079082
117,060730162013
118,060730133114
119,060730068011
120,060730032142
121,060730100112
122,060730033041
123,060730101032
124,060730126003
125,060730031051
126,060730194053
127,060730131032
128,060730185092
129,060730031032
130,060730141021
131,060730146012
132,060730135061
133,060730131023
134,060730185042
135,060730185044
136,060730087012
137,060730200213
138,060730101103
139,060730133032
140,060730141022
141,060730031082
142,060730100011
143,060730170544
144,060730170361
145,060730097052
146,060730134212
147,060730030032
148,060730031033
149,060730031151
150,060730085043
151,060730104022
152,060730162011
153,060730168092
154,060730164012
155,060730093051
156,060730135043
157,060730166172
158,060730131021
159,060730203091
160,060730159011
161,060730031072
162,060730138013
163,060730185072
164,060730195011
165,060730095041
166,060730121011
167,060730162022
168,060730194042
169,060730104011
170,060730200201
171,060730156022
