the_geom,cartodb_id,year,left_cartodb_id,cmp_segid,cmp_name,cmp_from,cmp_to,direction,length,cls_hcm85,period,auto_speed,los_hcm85,transit_speed,transit_sd,transit_cv,atspd_ratio,right_cmp_segid,right_length
0105000020E61000000100000001020000000B000000BEA5E9D2F39D5EC03FDAC754FBE2424049FDA62DE29D5EC0B76143CEFCE24240CBB886B6D09D5EC06FAB5B3FFEE242401EF9A7B3C79D5EC0EC35D921FFE24240EEDB633FBF9D5EC0ABC7533201E34240349D43C8AD9D5EC0AB68E5E105E34240A39C23519C9D5EC07EBFFC450AE34240703404DA8A9D5EC0A783A8A10EE342403158E162799D5EC0D0F8BC0513E3424055E5C1EB679D5EC06CE4CD6917E34240DAE1E3B7559D5EC091B062191CE34240,3,2011,1974,104,Fulton,10th Ave,Arguello,E,0.533347149871,3,AM,17.0456412108,C,,,,,104,0.53334714987
0105000020E610000001000000010200000013000000E032C1EDAF995EC01164747006E54240B3512AB0A6995EC0BBE857C2F7E44240BBED3A059F995EC0B4130681EBE44240D490231396995EC05869FA3FDDE44240F90AA22D8D995EC0B9CEA539CFE442402311498F85995EC08F1487E7C2E442403420B8D37C995EC07AFFC502B5E44240CCBC78C873995EC0F969CA97A6E442405408F3106C995EC074250D4E9AE44240D4BC2B6663995EC043B20C7A8CE44240999AF82456995EC07888685777E44240A4D2261A4A995EC0A472AD2364E442401207B78939995EC0818816B249E442409F7058D230995EC0E15984BC3BE44240378AFB8F2B995EC0476AA35033E442402E5B650E28995EC0AB2B31B62DE44240EBCE921B24995EC0EE7B346327E44240AF68145B20995EC00405126421E44240ED56EE9217995EC05AA8BE5D13E44240,55,2013,44,3,2nd St,Market,Brannan,S,0.721663762241,3,AM,9.56457564576,D,9.3,1.9,20.4301075268817,1.02844899416774,3,0.72166376224
0105000020E610000001000000010200000003000000D5EA91AB37995EC087FE7D635EE342406308DBC513995EC06871606799E3424061AEE5D7EE985EC077C85E52D2E34240,104,2013,2769,144,King,4th,2nd,E,0.344637634925,3,AM,14.9,C,,,,,144,0.34463763492
0105000020E610000001000000010200000003000000D5EA91AB37995EC087FE7D635EE342406308DBC513995EC06871606799E3424061AEE5D7EE985EC077C85E52D2E34240,170,2013,2770,144,King,4th,2nd,E,0.344637634925,3,PM,13.9,C,,,,,144,0.34463763492
0105000020E61000000100000001020000000D000000C8A97E5F029A5EC0C123EF5FAFE442407DFFEC5FFF995EC0E51265FF92E442409A865FEBF8995EC0A2DC901893E44240FF648A3CEF995EC0A2CA173483E4424028E1031CE8995EC047E5578177E4424036AF9F79DF995EC082D7A17269E4424054CC6C44D6995EC039D3D2205BE4424082C191C0C5995EC0FB53635F41E442401934B63CB5995EC0AD15550F27E442405852FB67AC995EC0BC969E0019E442405F617097A3995EC07D26C9AE0AE44240477D1FE49B995EC0ECC291B0FEE34240E364B84193995EC0FF7037AAF0E34240,172,1997,159,9,4th St/Stockton,O'Farrell,Harrison,S,0.564055637017,3,PM,10.5,D,,,,,9,0.56405563702
0105000020E61000000100000001020000000C000000D6F708F8149A5EC0B51B32FB04E242400A1E1680259A5EC0DB4B313603E242400CA5723C459A5EC0D8758171FFE14240C08FB231559A5EC0B1B96D69FDE142408124A0F4649A5EC078405461FBE142409F4E4C3A709A5EC060335633FAE142408B1AC545949A5EC0BB4BABD7F5E14240AFD838EFA59A5EC0B85C1284F3E142403CABF7F4B79A5EC0B474F97BF1E142403AFC8ECCC99A5EC012CF6028EFE142407A8609DDCB9A5EC0AA486128EFE1424042A24AD2DB9A5EC00A26E817EDE14240,419,2009,407,21,16th St,Potrero,Mission,W,0.666427034121,3,PM,15.231397183,C,6.87476246715,,,2.21555250174546,21,0.66642703412
0105000020E61000000100000001020000000D0000001A20A8413E9E5EC0D6BE9642CCDB4240CBE853BA619E5EC066F6BD6D19DC42401D4E26AD659E5EC044C5134626DC4240CC101DCE699E5EC02B1EE18A37DC4240FC26FA9F699E5EC039D560664BDC424004F1D2C1679E5EC0257FB5C98DDC42403C460216669E5EC0D27A764FCADC424065AD5498649E5EC0D1DBC6840BDD42405A02B659629E5EC02E8CB06264DD4240CE4F82EC629E5EC08377A57C7BDD4240B5C571AD639E5EC00C391B7993DD4240C11FA761659E5EC0EF9E0B16C1DD4240FEA29AD2679E5EC0398D8E2008DE4240,454,2013,442,23,19th Ave/Park Presidio,Junipero Serra,Sloat,N,1.24888872158,3,AM,15.7,C,9.8,1.4,14.2857142857143,1.60204081632653,23,1.24888872158
0105000020E610000001000000010200000023000000174E346B249E5EC0A4DF80FDD8E6424013CBC0391E9E5EC04101EBB6D3E64240FF93ED461A9E5EC03CE6BF0FCFE6424055792993159E5EC0EEE414C1C7E64240DBA63472119E5EC0D55EF0F8BEE6424064403F010F9E5EC0CB40C4F5B7E642405A0A4C900C9E5EC012E40771ADE64240CF41079D0B9E5EC05049DFD6A5E642404367069D0B9E5EC0FA4DDB6C74E6424009447FFD0B9E5EC01C7D63CC5EE6424049F7C4590C9E5EC064DE92F04CE642406A381A8C0C9E5EC0C13BB0A339E6424022573DBA0C9E5EC068BF325F26E64240CF2E60E80C9E5EC0A93F29B309E64240E84483160D9E5EC08E841991F0E54240F13E61E80C9E5EC0EDD1757DE7E5424056899A050E9E5EC01EEDE96471E54240E68BBD330E9E5EC0B7D92FB265E54240E6C4ACF40E9E5EC021D28A9E5CE54240FDE52605119E5EC040EFB61E4DE54240238592D6139E5EC0B302E7FA3FE54240EC483015169E5EC070793E7E37E54240EA677F681A9E5EC0457B04E92AE5424082036AAA229E5EC022690ECF13E54240F218D67B259E5EC0FB49E6340CE5424084675C9C2C9E5EC09BBE8233F9E442404EF41E50319E5EC074DA47CCEDE442407BF04BDE349E5EC030970793E3E44240CCA71B21379E5EC07388DE61DBE4424032449631399E5EC0B8F0387CD3E442400F2B34703B9E5EC02E6FFC42C9E44240447E37203D9E5EC0B59CD111C1E442400F1590023F9E5EC0EF64165FB5E44240DEB21A52409E5EC0602B5E7EA8E442408896B2303F9E5EC041DDC493A5E44240,529,2013,517,27,19th Ave/Park Presidio,US-101,Lake,S,1.25908915215,1,PM,42.9,A,19,1.7,8.94736842105263,2.25789473684211,27,1.25908915215
0105000020E61000000100000001020000000D000000FEA29AD2679E5EC0398D8E2008DE4240C11FA761659E5EC0EF9E0B16C1DD4240B5C571AD639E5EC00C391B7993DD4240CE4F82EC629E5EC08377A57C7BDD42405A02B659629E5EC02E8CB06264DD424065AD5498649E5EC0D1DBC6840BDD42403C460216669E5EC0D27A764FCADC424004F1D2C1679E5EC0257FB5C98DDC4240FC26FA9F699E5EC039D560664BDC4240CC101DCE699E5EC02B1EE18A37DC42401D4E26AD659E5EC044C5134626DC4240CBE853BA619E5EC066F6BD6D19DC42401A20A8413E9E5EC0D6BE9642CCDB4240,584,2011,572,30,19th Ave/Park Presidio,Sloat,Junipero Serra,S,1.24888872158,3,PM,17.65375043,C,11.52,3.07,26.6493055555556,1.53244361371528,30,1.24888872158
0105000020E61000000100000001020000000D000000FEA29AD2679E5EC0398D8E2008DE4240C11FA761659E5EC0EF9E0B16C1DD4240B5C571AD639E5EC00C391B7993DD4240CE4F82EC629E5EC08377A57C7BDD42405A02B659629E5EC02E8CB06264DD424065AD5498649E5EC0D1DBC6840BDD42403C460216669E5EC0D27A764FCADC424004F1D2C1679E5EC0257FB5C98DDC4240FC26FA9F699E5EC039D560664BDC4240CC101DCE699E5EC02B1EE18A37DC42401D4E26AD659E5EC044C5134626DC4240CBE853BA619E5EC066F6BD6D19DC42401A20A8413E9E5EC0D6BE9642CCDB4240,585,2013,573,30,19th Ave/Park Presidio,Sloat,Junipero Serra,S,1.24888872158,3,AM,23.8,B,11.1,1.6,14.4144144144144,2.14414414414414,30,1.24888872158
